Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,cluster_id,cluster_label,style_description
#PROUDCATOWNERREMIX,"XXXTENTACION, Rico Nasty",0.6661380760826913,-0.7440499853730453,-0.2338381590291279,2.676554641437955,-0.8497340718076756,-0.1513962023033052,-1.2092315614608513,3,C3,Danceability / Speechiness / Valence
BOY BYE,BROCKHAMPTON,1.2914119165380695,0.6526324099763345,-0.5480558974523813,0.35522601096194634,1.1858873364607228,-0.1513962023033052,1.2186274495087122,7,C7,Danceability / Loudness / Valence
Brillis,Shirin David,1.066022508932061,-1.0358014190682494,-1.0960461327331974,0.46206540399640705,-0.053186564224389325,-0.1513962023033052,0.4049187828085304,1,C1,Danceability
Intro-Résumé,Miami Yacine,-0.8243402645376883,-0.27848918692325225,-0.820332099674719,3.2398896228923832,2.290096050676707,-0.1513962023033052,-0.8289112063727229,3,C3,Danceability / Speechiness / Valence
People,The 1975,-1.4496141049930666,1.763770848943175,0.10031899824374109,0.7145948784414958,-0.9719556470453227,0.14798241819701505,-0.13018311214104544,0,C0,Loudness
ST. PERCY,BROCKHAMPTON,-0.5844096048280661,-0.042605049042023446,-0.5043954458333954,1.8995408739146045,0.5747794602724872,-0.056855585303204066,1.0196226125439936,3,C3,Danceability / Speechiness / Valence
The greatest,Lana Del Rey,-2.0821585715002517,-2.5628408379835714,-2.332633884492981,-0.7520186077588273,2.9686365200995066,0.11646887919698137,-1.4259257172668778,4,C4,Acousticness
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,-0.8461521426931085,0.7209146604156376,0.1787015413077474,-0.5092018054077805,-0.5715746247150995,-0.1513962023033052,-0.06827049619646636,0,C0,Loudness
Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",0.4262074163730691,0.14361927033789407,0.8477034220207136,0.09298386442281574,0.14489667840214224,-0.1513962023033052,0.8338847647102564,7,C7,Danceability / Loudness / Valence
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,-0.5625977266726458,1.2237203227414142,0.483293353389807,-0.43150042865544547,-0.8497340718076756,-0.1513962023033052,0.6569915762971738,7,C7,Danceability / Loudness / Valence
No Way!,Bazzi,-0.19179579803050245,0.4167482720951057,0.49223171356377265,-0.7131679193826598,-0.23862619561944015,-0.1513962023033052,-0.6697073368009484,1,C1,Danceability
